Image URI,Label
gs://mri_bucket_classification/yes/y0.jpg,yes
gs://mri_bucket_classification/yes/y1.jpg,yes
gs://mri_bucket_classification/yes/y10.jpg,yes
gs://mri_bucket_classification/yes/y100.jpg,yes
gs://mri_bucket_classification/yes/y1000.jpg,yes
gs://mri_bucket_classification/yes/y1001.jpg,yes
gs://mri_bucket_classification/yes/y1002.jpg,yes
gs://mri_bucket_classification/yes/y1003.jpg,yes
gs://mri_bucket_classification/yes/y1004.jpg,yes
gs://mri_bucket_classification/yes/y1005.jpg,yes
gs://mri_bucket_classification/yes/y1006.jpg,yes
gs://mri_bucket_classification/yes/y1007.jpg,yes
gs://mri_bucket_classification/yes/y1008.jpg,yes
gs://mri_bucket_classification/yes/y1009.jpg,yes
gs://mri_bucket_classification/yes/y101.jpg,yes
gs://mri_bucket_classification/yes/y1010.jpg,yes
gs://mri_bucket_classification/yes/y1011.jpg,yes
gs://mri_bucket_classification/yes/y1012.jpg,yes
gs://mri_bucket_classification/yes/y1013.jpg,yes
gs://mri_bucket_classification/yes/y1014.jpg,yes
gs://mri_bucket_classification/yes/y1015.jpg,yes
gs://mri_bucket_classification/yes/y1016.jpg,yes
gs://mri_bucket_classification/yes/y1017.jpg,yes
gs://mri_bucket_classification/yes/y1018.jpg,yes
gs://mri_bucket_classification/yes/y1019.jpg,yes
gs://mri_bucket_classification/yes/y102.jpg,yes
gs://mri_bucket_classification/yes/y1020.jpg,yes
gs://mri_bucket_classification/yes/y1021.jpg,yes
gs://mri_bucket_classification/yes/y1022.jpg,yes
gs://mri_bucket_classification/yes/y1023.jpg,yes
gs://mri_bucket_classification/yes/y1024.jpg,yes
gs://mri_bucket_classification/yes/y1025.jpg,yes
gs://mri_bucket_classification/yes/y1026.jpg,yes
gs://mri_bucket_classification/yes/y1027.jpg,yes
gs://mri_bucket_classification/yes/y1028.jpg,yes
gs://mri_bucket_classification/yes/y1029.jpg,yes
gs://mri_bucket_classification/yes/y103.jpg,yes
gs://mri_bucket_classification/yes/y1030.jpg,yes
gs://mri_bucket_classification/yes/y1031.jpg,yes
gs://mri_bucket_classification/yes/y1032.jpg,yes
gs://mri_bucket_classification/yes/y1033.jpg,yes
gs://mri_bucket_classification/yes/y1034.jpg,yes
gs://mri_bucket_classification/yes/y1035.jpg,yes
gs://mri_bucket_classification/yes/y1036.jpg,yes
gs://mri_bucket_classification/yes/y1037.jpg,yes
gs://mri_bucket_classification/yes/y1038.jpg,yes
gs://mri_bucket_classification/yes/y1039.jpg,yes
gs://mri_bucket_classification/yes/y104.jpg,yes
gs://mri_bucket_classification/yes/y1040.jpg,yes
gs://mri_bucket_classification/yes/y1041.jpg,yes
gs://mri_bucket_classification/yes/y1042.jpg,yes
gs://mri_bucket_classification/yes/y1043.jpg,yes
gs://mri_bucket_classification/yes/y1044.jpg,yes
gs://mri_bucket_classification/yes/y1045.jpg,yes
gs://mri_bucket_classification/yes/y1046.jpg,yes
gs://mri_bucket_classification/yes/y1047.jpg,yes
gs://mri_bucket_classification/yes/y1048.jpg,yes
gs://mri_bucket_classification/yes/y1049.jpg,yes
gs://mri_bucket_classification/yes/y105.jpg,yes
gs://mri_bucket_classification/yes/y1050.jpg,yes
gs://mri_bucket_classification/yes/y1051.jpg,yes
gs://mri_bucket_classification/yes/y1052.jpg,yes
gs://mri_bucket_classification/yes/y1053.jpg,yes
gs://mri_bucket_classification/yes/y1054.jpg,yes
gs://mri_bucket_classification/yes/y1055.jpg,yes
gs://mri_bucket_classification/yes/y1056.jpg,yes
gs://mri_bucket_classification/yes/y1057.jpg,yes
gs://mri_bucket_classification/yes/y1058.jpg,yes
gs://mri_bucket_classification/yes/y1059.jpg,yes
gs://mri_bucket_classification/yes/y106.jpg,yes
gs://mri_bucket_classification/yes/y1060.jpg,yes
gs://mri_bucket_classification/yes/y1061.jpg,yes
gs://mri_bucket_classification/yes/y1062.jpg,yes
gs://mri_bucket_classification/yes/y1063.jpg,yes
gs://mri_bucket_classification/yes/y1064.jpg,yes
gs://mri_bucket_classification/yes/y1065.jpg,yes
gs://mri_bucket_classification/yes/y1066.jpg,yes
gs://mri_bucket_classification/yes/y1067.jpg,yes
gs://mri_bucket_classification/yes/y1068.jpg,yes
gs://mri_bucket_classification/yes/y1069.jpg,yes
gs://mri_bucket_classification/yes/y107.jpg,yes
gs://mri_bucket_classification/yes/y1070.jpg,yes
gs://mri_bucket_classification/yes/y1071.jpg,yes
gs://mri_bucket_classification/yes/y1072.jpg,yes
gs://mri_bucket_classification/yes/y1073.jpg,yes
gs://mri_bucket_classification/yes/y1074.jpg,yes
gs://mri_bucket_classification/yes/y1075.jpg,yes
gs://mri_bucket_classification/yes/y1076.jpg,yes
gs://mri_bucket_classification/yes/y1077.jpg,yes
gs://mri_bucket_classification/yes/y1078.jpg,yes
gs://mri_bucket_classification/yes/y1079.jpg,yes
gs://mri_bucket_classification/yes/y108.jpg,yes
gs://mri_bucket_classification/yes/y1080.jpg,yes
gs://mri_bucket_classification/yes/y1081.jpg,yes
gs://mri_bucket_classification/yes/y1082.jpg,yes
gs://mri_bucket_classification/yes/y1083.jpg,yes
gs://mri_bucket_classification/yes/y1084.jpg,yes
gs://mri_bucket_classification/yes/y1085.jpg,yes
gs://mri_bucket_classification/yes/y1086.jpg,yes
gs://mri_bucket_classification/yes/y1087.jpg,yes
gs://mri_bucket_classification/yes/y1088.jpg,yes
gs://mri_bucket_classification/yes/y1089.jpg,yes
gs://mri_bucket_classification/yes/y109.jpg,yes
gs://mri_bucket_classification/yes/y1090.jpg,yes
gs://mri_bucket_classification/yes/y1091.jpg,yes
